Champion,Name,Erscheinungsdatum
Kassadin,Deep One,01-Aug-2010
Kassadin,Count,24-Oct-2019
Katarina,Original,18-Sep-2009
Katarina,Mercenary,20-Nov-2009
Katarina,High Command,22-Feb-2011
Katarina,Sandstorm,02-Jan-2012
Katarina,Warring Kingdoms,10-Feb-2015
Katarina,PROJECT,01-Aug-2016
Katarina,Battle Academia,15-May-2019
Katarina,Blood Moon,20-Feb-2020
Katarina,Red Card,24-Jun-2010
Katarina,Bilgewater,29-Aug-2010
Katarina,Kitty Cat,19-Oct-2010
Katarina,Slay Belle,14-Dec-2012
Katarina,Death Sworn,25-Oct-2017
Kayle,Original,21-Feb-2009
Kayle,Viridian,01-Jun-2010
Kayle,Battleborn,18-Apr-2011
Kayle,Aether Wing,18-Jan-2013
Kayle,Iron Inquisitor,04-May-2016
Kayle,Pentakill,08-Aug-2017
Kayle,Transcended,13-Jul-2010
Kayle,Riot,12-Aug-2014
Kayle,Silver,13-Nov-2009
Kayle,Judgment,22-Aug-2011
Kayn,Original,11-Jul-2017
Kayn,Soulhunter,11-Jul-2017
Kayn,Odyssey,12-Sep-2018
Kennen,Original,08-Apr-2010
Kennen,Karate,08-Nov-2010
Kennen,Kennen M.D.,29-Mar-2011
Kennen,Arctic Ops,29-Dec-2011
Kennen,Blood Moon,25-Feb-2016
Kennen,Super,29-Mar-2017
Kennen,Deadly,08-Apr-2010
Kennen,Swamp Master,08-Apr-2010
Khazix,Original,26-Sep-2012
Khazix,Mecha,26-Sep-2012
Khazix,Guardian of the Sands,09-Sep-2014
Khazix,Death Blossom,17-Mar-2016
Khazix,Dark Star,03-May-2017
Khazix,Championship,27-Sep-2018
Kindred,Original,13-Oct-2015
Kindred,Shadowfire,13-Oct-2015
Kindred,Super Galaxy,25-May-2016
Kled,Original,09-Aug-2016
Kled,Sir,09-Aug-2016
Kled,Count Kledula,24-Oct-2018
KogMaw,Original,24-Jun-2010
KogMaw,Monarch,16-Nov-2010
KogMaw,Lion Dance,01-Feb-2011
KogMaw,Jurassic,23-Mar-2012
KogMaw,Battlecast,25-Nov-2014
KogMaw,Pug'Maw,29-Mar-2017
KogMaw,Caterpillar,24-Jun-2010
KogMaw,Sonoran,24-Jun-2010
KogMaw,Reindeer,14-Dec-2010
KogMaw,Deep Sea,19-Sep-2011
KogMaw,Hextech,07-Dec-2017
Leblanc,Original,02-Nov-2010
Leblanc,Wicked,02-Nov-2010
Leblanc,Prestigious,02-Nov-2010
Leblanc,Elderwood,10-Mar-2016
Leblanc,Program,15-Nov-2018
Leblanc,Mistletoe,14-Dec-2011
Leblanc,Ravenborn,28-Oct-2014
Leblanc,iG,23-Apr-2019
Leblanc,Coven,???
LeeSin,Original,01-Apr-2011
LeeSin,Traditional,01-Apr-2011
LeeSin,Acolyte,01-Apr-2011
LeeSin,Dragon Fist,10-Jan-2012
LeeSin,Muay Thai,24-Jul-2012
LeeSin,Pool Party,09-Sep-2013
LeeSin,Knockout,31-May-2015
LeeSin,God Fist,05-Apr-2017
LeeSin,Nightbringer,12-Dec-2019
LeeSin,SKT T1,04-May-2014
LeeSin,Playmaker,14-Jun-2018
LeeSin,Prestige Nightbringer,12-Dec-2019
Leona,Original,13-Jul-2011
Leona,Valkyrie,13-Jul-2011
Leona,Iron Solari,10-Feb-2012
Leona,Pool Party,09-Sep-2013
Leona,PROJECT,07-Sep-2015
Leona,Barbecue,07-Sep-2016
Leona,Solar Eclipse,27-Nov-2018
Leona,Lunar Eclipse,27-Nov-2018
Leona,Mecha Kingdoms,15-Jan-2020
Leona,Defender,13-Jul-2011
Lissandra,Original,29-Apr-2013
Lissandra,Bloodstone,29-Apr-2013
Lissandra,Blade Queen,26-May-2014
Lissandra,Program,06-Apr-2016
Lissandra,Coven,27-Nov-2018
Lucian,Original,21-Aug-2013
Lucian,Hired Gun,21-Aug-2013
Lucian,PROJECT,07-Sep-2015
Lucian,High Noon,30-Aug-2018
