"Champion","Name","Erscheinungsdatum","TagDate","BannrateNachher","BannrateVorher","BeliebtheitNachher","BeliebtheitVorher","GewinnrateNachher","GewinnrateVorher","DeltaBannrate","DeltaBeliebtheit","DeltaGewinnrate","Quartal","AnzahlInNachfolgendenPatchen","AnzahlInVorherigenPatchen"
"Janna","Guardian of the Sands","22-Jan-2020",18283,0.0039,0.0047,0.071,0.0618,0.5183,0.5317,-8e-04,0.00919999999999999,-0.0134,21,0,0
"Janna","Bewitching","24-Oct-2018",17828,0.008,0.0097,0.09,0.0809,0.5139,0.4986,-0.0017,0.0091,0.0153,16,0,1
"JarvanIV","Dark Star","01-Mar-2018",17591,0.055,0.0994,0.1381,0.1976,0.4866,0.4981,-0.0444,-0.0595,-0.0115,13,1,2
"JarvanIV","SSG","20-Jul-2018",17732,0.0113,0.0157,0.0747,0.071,0.491,0.4764,-0.0044,0.00370000000000001,0.0146,15,2,2
"JarvanIV","Hextech","04-Apr-2019",17990,0.1263,0.0362,0.2182,0.1631,0.5153,0.5171,0.0901,0.0551,-0.00180000000000002,18,1,1
"Jax","Warden","30-Sep-2015",16708,0.0035,0.0076,0.053,0.0578,0.5051,0.4934,-0.0041,-0.0048,0.0117,3,0,1
"Jax","God Staff","11-Jan-2018",17542,0.0406,0.0349,0.1144,0.0959,0.493,0.4971,0.0057,0.0185,-0.00409999999999999,13,0,0
"Jax","Mecha Kingdoms","15-Jan-2020",18276,0.0652,0.0886,0.0907,0.0822,0.4948,0.5066,-0.0234,0.00850000000000001,-0.0118,21,1,1
"Jayce","Forsaken","03-May-2015",16558,0.0012,0.0012,0.0395,0.0302,0.4762,0.4733,0,0.0093,0.00290000000000001,2,0,0
"Jayce","Jayce Brighthammer","17-Nov-2016",17122,0.1301,0.1459,0.119,0.1508,0.5225,0.5287,-0.0158,-0.0318,-0.00619999999999998,8,1,1
"Jayce","Battle Academia","15-May-2019",18031,0.0467,0.0623,0.0768,0.068,0.4787,0.4891,-0.0156,0.00879999999999999,-0.0104,18,0,1
"Jhin","Blood Moon","09-Feb-2017",17206,0.0533,0.0123,0.4174,0.2629,0.5103,0.5118,0.041,0.1545,-0.00150000000000006,9,0,1
"Jhin","PROJECT","22-Nov-2017",17492,0.0206,0.0026,0.2606,0.0796,0.4847,0.4861,0.018,0.181,-0.00139999999999996,12,1,1
"Jhin","Dark Cosmic","13-Jun-2019",18060,0.0114,0.0091,0.1248,0.1194,0.5018,0.4926,0.0023,0.00539999999999999,0.00920000000000004,18,1,1
"Jhin","SKT T1","27-Jun-2017",17344,0.0226,0.0012,0.2748,0.0726,0.506,0.4821,0.0214,0.2022,0.0239,10,1,2
"Jinx","Firecracker","10-Feb-2015",16476,0.0056,0.0036,0.2503,0.1824,0.5316,0.5387,0.002,0.0679,-0.0071,1,NA,NA
"Jinx","Star Guardian","05-Oct-2016",17079,0.0135,0.0058,0.2327,0.1808,0.5245,0.5319,0.0077,0.0519,-0.00740000000000007,8,1,2
"Jinx","Odyssey","12-Sep-2018",17786,0.0047,0.0063,0.1238,0.1325,0.5145,0.5244,-0.0016,-0.00870000000000001,-0.00990000000000002,15,0,0
"Jinx","PROJECT","01-Aug-2019",18109,0.0257,0.0161,0.1975,0.1597,0.5366,0.5324,0.0096,0.0378,0.00419999999999998,19,0,0
"Jinx","Zombie Slayer","05-Nov-2015",16744,0.0044,0.0033,0.1911,0.2462,0.5012,0.5175,0.0011,-0.0551,-0.0163,4,0,0
"Jinx","Ambitious Elf","12-Dec-2017",17512,0.0015,0.003,0.0693,0.0893,0.4898,0.5069,-0.0015,-0.02,-0.0171,12,1,2
